batiment;niveau;id;description;x;y
Livraison;RDC;41LIV;Livraison;2051;251
Parking;RDC;41PARK;Parking;1284;1556
Acces pieton;RDC;41AP;Acces pieton;218;2604
Parking;RDC;41PCS;PC Securite;384;963
Local Velos;RDC;41VELO;Local Velos;384;963
City State;RDC;41CS;City State;805;2455
A;RDC;41AE001;Jim;1941;3568
A;RDC;41AE002;Jim;0;0
A;RDC;41AE003;Reprographie;2613;3263
A;RDC;41AE004;bureau;2613;3225
A;RDC;41AE005;Espace collaborateur;2383;3405
A;RDC;41AE006;bureau;2283;3403
A;RDC;41AE007;bureau;2263;3403
A;RDC;41AE008;bureau;2225;3403
A;RDC;41AE009;Espace d'attente;2184;3374
A;RDC;41AE010;bureau;2133;3145
A;RDC;41AE011;Local Photocopieur;2107;3145
A;RDC;41AE012;bureau;2086;3145
A;RDC;41AE013;Accueil;2107;3213
A;RDC;41AE014;bureau;1979;3494
A;RDC;41AE015;Infirmerie;1964;3499
A;RDC;41AE040;Couloir;0;0
A;RDC;41AE041;Local technique;2415;3433
A;RDC;41AE042;Local technique;2396;3431
A;RDC;41AE043;Local technique;2378;3431
A;RDC;41AE044;Couloir;0;0
A;RDC;41AE045;Couloir;0;0
A;RDC;41AE046;Sanitaires;2315;3433
A;RDC;41AE047;hall;0;0
A;RDC;41AE048;Sanitaires;0;0
A;RDC;41AE049;Couloir;0;0
A;RDC;41AE050;Escalier ;2462;3501
A;RDC;41AE051;Sanitaires;2120;3320
A;RDC;41AE052;Sanitaires;2076;3330
A;RDC;41AE053;Sanitaires;0;0
A;RDC;41AE054;Local technique;0;0
A;RDC;41AE055;Local technique;0;0
A;RDC;41AE056;Local technique;0;0
A;RDC;41AE057;Escalier SS;2148;3526
A;RDC;41AE058;Couloir;0;0
A;RDC;41AE070;Couloir;0;0
A;RDC;41AE071;Ascenseur;2484;3461
A;RDC;41AE072;Ascenseur;2140;3503
A;RDC;41AE072;Escalier;2143;3467
A;RDC;41AE072;Escalier SS;2445;3437
A;R+1;41AE101;Atelier ;0;0
A;R+1;41AE102;Local Photocopieur;0;0
A;R+1;41AE103;Atelier ;0;0
A;R+1;41AE103;Atelier ;0;0
A;R+1;41AE104;Espace d'enseignement;0;0
A;R+1;41AE105;Atelier ;0;0
A;R+1;41AE106;bureau;0;0
A;R+1;41AE107;bureau;0;0
A;R+1;41AE108;Atelier ;0;0
A;R+1;41AE108;Atelier ;0;0
